Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the state of the NA server?,What do you think about the NA pace compared to others servers?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Do you think Aniplex and DW care about the F2P NA player and fanbase?,Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you used more SQ than expected for one servant?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)"
16/02/2019 18:13:27,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji","Gilgamesh, Ishtar",Tamamo no Mae [Lancer],"Francis Drake, Queen Medb, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","Jack the Ripper, Shuten Douji","Florence Nightingale, Minamoto no Raikō",,,Yes,Between 12 and 15 months,19,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,minamoto no raiko,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:13:44,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]","Artoria Pendragon [Archer], Ishtar",Tamamo no Mae [Lancer],Ozymandias,"Tamamo-no-mae, Illyasviel von Einzbern",Jack the Ripper,Vlad III,,Edmond Dantes,No,More than 15 months,16,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Marie Antoinette,Gilgamesh,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:13:45,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Miyamoto Musashi","Gilgamesh, Orion, Arjuna, Ishtar","Scathach, Artoria Pendragon [Lancer], Enkidu",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin",King Hassan,Mysterious Heroine X (Alter),Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,18,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Saber Alter,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:13:48,F2P,"Okita Souji, Ryougi Shiki",Ishtar,Scathach,,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern, Merlin",Cleopatra,Vlad III,,,Yes,More than 15 months,10,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Slow, the content should be released faster to catch up CN/JP",Both,Yes,Ibaraki,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:14:15,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Miyamoto Musashi,,,,,,,,Jeanne D'arc [Alter],No,More than 15 months,8,Yes,"Slow, the content should be released faster to catch up CN/JP","Bad, DW and Aniplex should do a better management of the NA server",Auto-Play,Miyamoto Musashi,Charles Babbage,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:14:28,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]","Nikola Tesla, Arjuna, Ishtar",Karna,Queen Medb,"Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin","Shuten Douji, Cleopatra, King Hassan","Cu Chulainn [Alter], Minamoto no Raikō, Mysterious Heroine X (Alter)",,"Jeanne D'arc [Alter], Edmond Dantes",No,More than 15 months,24,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Zhuge Liang,Babbage,Female,Between 21 and 40,,,,,,No
16/02/2019 18:14:45,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Artoria Pendragon [Archer],"Artoria Pendragon [Lancer], Enkidu","Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Merlin",,Cu Chulainn [Alter],Amakusa Shirou,,Yes,More than 15 months,11,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Astolfo,Mash,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:14:53,F2P,Okita Souji,,"Tamamo no Mae [Lancer], Enkidu",,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",,"Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,,Yes,More than 15 months,11,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",Both,No,King Hassan,,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:15:19,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride], Ryougi Shiki, Miyamoto Musashi","Gilgamesh, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu","Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern, Merlin","Jack the Ripper, Cleopatra, King Hassan","Sakata Kintoki, Vlad III, Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 months,57,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Shiki,Kiyohime,Male,,,,,,Between 41 and 70,No
16/02/2019 18:15:30,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride], Miyamoto Musashi",Artoria Pendragon [Archer],"Brynhildr, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",Francis Drake,"Tamamo-no-mae, Merlin","Jack the Ripper, King Hassan","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Mysterious Heroine X (Alter)",,"Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 months,19,No,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Both,Cu Alter,Gilles de rais ,Male,Between 11 and 20,,,,,,Yes
16/02/2019 18:15:41,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Altera, Miyamoto Musashi",Orion,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern",,Vlad III,,,Yes,More than 15 months,9,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Mashu,Arjuna,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:15:52,F2P,,"Orion, Artoria Pendragon [Archer]",,"Ozymandias, Quetzalcoatl",,Cleopatra,,Jeanne D'arc,,Yes,More than 15 months,6,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Maybe,Cleopatra,Nobunaga,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:16:00,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Ishtar",Scathach,,"Xuanzang, Merlin",Jack the Ripper,"Minamoto no Raikō, Mysterious Heroine X (Alter)",,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",Both,Scathatch,chloe,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:16:25,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji",Orion,Scathach,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Merlin","Jack the Ripper, King Hassan","Florence Nightingale, Mysterious Heroine X (Alter)",,Jeanne D'arc [Alter],Yes,More than 15 months,20,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",None,King Hassan,Gilles,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:16:45,F2P,,"Orion, Arjuna, Artoria Pendragon [Archer]",Enkidu,Ozymandias,"Xuanzang, Leonardo Da Vinci, Merlin",,,Amakusa Shirou,Edmond Dantes,Yes,More than 15 months,10,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Slow, the content should be released faster to catch up CN/JP",NP Skip,Maybe,David,Blackbeard,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:17:13,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Lancer],,Zhuge Liang [El-Melloi II],,,,Jeanne D'arc [Alter],Yes,Between 3 and 6 months,4,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,"Ishtar or eresh, but got none",,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:17:56,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Miyamoto Musashi","Nikola Tesla, Artoria Pendragon [Archer]","Scathach, Brynhildr","Francis Drake, Ozymandias","Xuanzang, Merlin",,"Vlad III, Mysterious Heroine X (Alter)",,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,18,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Both,Tomoe,Nightingale ,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:18:02,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Orion, Arjuna",Scathach,"Ozymandias, Quetzalcoatl",Tamamo-no-mae,,"Minamoto no Raikō, Mysterious Heroine X (Alter)",,Jeanne D'arc [Alter],No,More than 15 months,18,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Scathach,Gilles Caster,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:18:03,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Miyamoto Musashi,Ishtar,,Ozymandias,"Tamamo-no-mae, Xuanzang",,Vlad III,,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,9,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",Auto-Play,None,Nero,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:18:20,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Miyamoto Musashi",Orion,,,,King Hassan,"Florence Nightingale, Mysterious Heroine X (Alter)",,Edmond Dantes,No,Between 12 and 15 months,,,,,,12,Gaius Julius Ceasar ,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:18:38,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride]","Gilgamesh, Arjuna",Artoria Pendragon [Lancer],Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Florence Nightingale,Jeanne D'arc,Edmond Dantes,No,More than 15 months,16,No,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",Auto-Play,Nero Claudius (Caster),Minamoto no Raikou,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:19:17,F2P,Altera,Arjuna,"Scathach, Tamamo no Mae [Lancer]","Francis Drake, Ozymandias",,MHX,"Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,,No,Between 12 and 15 months,11,,,,,,Mashu,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:20:05,F2P,,Orion,"Scathach, Karna, Tamamo no Mae [Lancer]",Quetzalcoatl,Zhuge Liang [El-Melloi II],,Mysterious Heroine X (Alter),,,No,More than 15 months,8,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Maybe,Kiyohime,Blackbeard,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:20:07,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,,Ozymandias,"Xuanzang, Merlin",,"Florence Nightingale, Mysterious Heroine X (Alter)",,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,9,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",None,Merlin,,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:20:14,F2P,Artoria Pendragon,Orion,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",MHX,,Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,9,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Maybe,Jeanne D'Arc,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:20:50,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamamo-no-mae,Jack the Ripper,Vlad III,"Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],Yes,More than 15 months,9,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Jeanne,Illya,Female,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:20:54,F2P,Miyamoto Musashi,Ishtar,"Tamamo no Mae [Lancer], Enkidu",Iskandar,Illyasviel von Einzbern,Cleopatra,,,,No,More than 15 months,7,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Both,Yes,Jeanne Alter ,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:21:12,F2P,,Artoria Pendragon [Archer],Enkidu,"Francis Drake, Quetzalcoatl",Leonardo Da Vinci,,"Cu Chulainn [Alter], Mysterious Heroine X (Alter)",Jeanne D'arc,,No,Between 12 and 15 months,8,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Yes,Diarmuid,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:21:26,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Miyamoto Musashi","Arjuna, Ishtar","Karna, Artoria Pendragon [Lancer]",Francis Drake,Merlin,,Mysterious Heroine X (Alter),Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,17,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Ishtar,Arunja,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:21:37,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Gilgamesh,Enkidu,,Merlin,,,"Jeanne D'arc, Amakusa Shirou",Edmond Dantes,No,More than 15 months,9,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Arthur,Tamamo,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:21:52,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Nero Claudius [Bride], Ryougi Shiki, Miyamoto Musashi","Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","MHX, Cleopatra","Vlad III, Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,30,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,MHXA,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:21:52,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Mordred,"Orion, Artoria Pendragon [Archer]",Artoria Pendragon [Lancer],Quetzalcoatl,Merlin,Shuten Douji,Mysterious Heroine X (Alter),,,No,More than 15 months,8,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Quetzalcoatl,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:22:00,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Nero Claudius [Bride], Miyamoto Musashi",,Tamamo no Mae [Lancer],Queen Medb,Merlin,"Jack the Ripper, King Hassan","Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,,No,Between 6 and 12 months,18,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Kiyohime,Fionn,Male,,Between 11 and 20,,,,,No
16/02/2019 18:22:06,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Miyamoto Musashi","Orion, Nikola Tesla","Karna, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu","Francis Drake, Iskandar, Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Merlin","Jack the Ripper, Shuten Douji, Cleopatra, King Hassan","Vlad III, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",No,Between 12 and 15 months,43,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Nero,Phantom of the Opera,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:22:08,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Ryougi Shiki,,Tamamo no Mae [Lancer],Francis Drake,Xuanzang,Jack the Ripper,,"Jeanne D'arc, Amakusa Shirou",,No,More than 15 months,8,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Kiyohime Lancer,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:22:36,F2P,"Artoria Pendragon, Altera",Artoria Pendragon [Archer],,,"Zhuge Liang [El-Melloi II], Merlin",Jack the Ripper,Florence Nightingale,,,No,Between 6 and 12 months,9,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Slow, the content should be released faster to catch up CN/JP",Both,Maybe,Sherlock Holmes,Francis Drake,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
